N,length,width,fgap,ggap,taper,1_1,1_2,1_GND,2_1,2_2,2_GND,GND_1,GND_2,GND_GND
10,100.0,10.0,10.00000001,75.0,50.0,4.715446500615072e-17,4.352164180043092e-14,4.8620652537413916e-14,4.352164180043092e-14,4.7051435160399466e-17,4.842868367267923e-14,4.8620652537413916e-14,4.842868367267923e-14,2.4737423675247794e-13
10,100.0,10.0,10.0,75.00000001,50.0,4.715446500615072e-17,4.352164180043092e-14,4.8620652537413916e-14,4.352164180043092e-14,4.7051435160399466e-17,4.842868367267923e-14,4.8620652537413916e-14,4.842868367267923e-14,2.4737423675247794e-13
10,100.0,10.0,10.0,75.0,50.00000001,4.715446500615072e-17,4.352164180043092e-14,4.8620652537413916e-14,4.352164180043092e-14,4.7051435160399466e-17,4.842868367267923e-14,4.8620652537413916e-14,4.842868367267923e-14,2.4737423675247794e-13
11,100.0,10.0,10.0,75.0,50.0,5.5042796473802494e-17,4.827030100371958e-14,5.46816784791941e-14,4.827030100371958e-14,4.584045488459506e-17,4.792589078983243e-14,5.46816784791941e-14,4.792589078983243e-14,2.4735045216320025e-13
11,100.00000001,10.0,10.0,75.0,50.0,5.5042796473802494e-17,4.827030100371958e-14,5.46816784791941e-14,4.827030100371958e-14,4.584045488459506e-17,4.792589078983243e-14,5.46816784791941e-14,4.792589078983243e-14,2.4735045216320025e-13
11,100.0,10.00000001,10.0,75.0,50.0,5.5042796473802494e-17,4.827030100371958e-14,5.46816784791941e-14,4.827030100371958e-14,4.584045488459506e-17,4.792589078983243e-14,5.46816784791941e-14,4.792589078983243e-14,2.4735045216320025e-13
11,100.0,10.0,10.00000001,75.0,50.0,5.5042796473802494e-17,4.827030100371958e-14,5.46816784791941e-14,4.827030100371958e-14,4.584045488459506e-17,4.792589078983243e-14,5.46816784791941e-14,4.792589078983243e-14,2.4735045216320025e-13
11,100.0,10.0,10.0,75.00000001,50.0,5.5042796473802494e-17,4.827030100371958e-14,5.46816784791941e-14,4.827030100371958e-14,4.584045488459506e-17,4.792589078983243e-14,5.46816784791941e-14,4.792589078983243e-14,2.4735045216320025e-13
11,100.0,10.0,10.0,75.0,50.00000001,5.5042796473802494e-17,4.827030100371958e-14,5.46816784791941e-14,4.827030100371958e-14,4.584045488459506e-17,4.792589078983243e-14,5.46816784791941e-14,4.792589078983243e-14,2.4735045216320025e-13
12,100.0,10.0,10.0,75.0,50.0,5.4459605080979504e-17,5.300464679628676e-14,5.472284098533376e-14,5.300464679628676e-14,5.353762118418209e-17,5.361756988740345e-14,5.472284098533376e-14,5.361756988740345e-14,2.474880984373102e-13
12,100.00000001,10.0,10.0,75.0,50.0,5.4459605080979504e-17,5.300464679628676e-14,5.472284098533376e-14,5.300464679628676e-14,5.353762118418209e-17,5.361756988740345e-14,5.472284098533376e-14,5.361756988740345e-14,2.474880984373102e-13
12,100.0,10.00000001,10.0,75.0,50.0,5.4459605080979504e-17,5.300464679628676e-14,5.472284098533376e-14,5.300464679628676e-14,5.353762118418209e-17,5.361756988740345e-14,5.472284098533376e-14,5.361756988740345e-14,2.474880984373102e-13
12,100.0,10.0,10.00000001,75.0,50.0,5.4459605080979504e-17,5.300464679628676e-14,5.472284098533376e-14,5.300464679628676e-14,5.353762118418209e-17,5.361756988740345e-14,5.472284098533376e-14,5.361756988740345e-14,2.474880984373102e-13
12,100.0,10.0,10.0,75.00000001,50.0,5.4459605080979504e-17,5.300464679628676e-14,5.472284098533376e-14,5.300464679628676e-14,5.353762118418209e-17,5.361756988740345e-14,5.472284098533376e-14,5.361756988740345e-14,2.474880984373102e-13
12,100.0,10.0,10.0,75.0,50.00000001,5.4459605080979504e-17,5.300464679628676e-14,5.472284098533376e-14,5.300464679628676e-14,5.353762118418209e-17,5.361756988740345e-14,5.472284098533376e-14,5.361756988740345e-14,2.474880984373102e-13
2,100.0,10.0,10.0,75.0,50.0,3.071495287167453e-17,6.037064027984137e-15,2.846253120214224e-14,6.037064027984137e-15,2.7218845704047992e-17,2.869834041959621e-14,2.846253120214224e-14,2.869834041959621e-14,2.4376795244080174e-13
2,100.00000001,10.0,10.0,75.0,50.0,3.071495287167453e-17,6.037064027984137e-15,2.846253120214224e-14,6.037064027984137e-15,2.7218845704060613e-17,2.8698340419596203e-14,2.846253120214224e-14,2.8698340419596203e-14,2.4376795244080174e-13
2,100.0,10.00000001,10.0,75.0,50.0,3.071495287166191e-17,6.037064027984137e-15,2.846253120214226e-14,6.037064027984137e-15,2.7218845704060613e-17,2.8698340419596203e-14,2.846253120214226e-14,2.8698340419596203e-14,2.437679524408018e-13
2,100.0,10.0,10.00000001,75.0,50.0,3.0714952871649296e-17,6.037064027984137e-15,2.846253120214227e-14,6.037064027984137e-15,2.7218845704060613e-17,2.8698340419596203e-14,2.846253120214227e-14,2.8698340419596203e-14,2.43767952440802e-13
2,100.0,10.0,10.0,75.00000001,50.0,3.071495287166191e-17,6.037064027984137e-15,2.846253120214226e-14,6.037064027984137e-15,2.7218845704060613e-17,2.8698340419596203e-14,2.846253120214226e-14,2.8698340419596203e-14,2.4376795244080214e-13
